input_text,target_text
generate coping tip: emotion=neutral | intent=reflecting,Use this moment to reflect gently on your journey.
generate coping tip: emotion=depression | intent=asking_question,It’s okay to be unsure. Take one question at a time.
generate coping tip: emotion=depression | intent=asking_question,It’s okay to be unsure. Take one question at a time.
generate coping tip: emotion=neutral | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=asking_question,"Seek information, but pace yourself gently."
generate coping tip: emotion=neutral | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=reflecting,Neutral is a good time to build habits.
generate coping tip: emotion=stress | intent=seeking_support,Share your stress—collaboration relieves pressure.
generate coping tip: emotion=stress | intent=seeking_support,Talk through your tasks with someone supportive.
generate coping tip: emotion=neutral | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=venting,Let your emotions out without judgment.
generate coping tip: emotion=stress | intent=reflecting,Awareness is step one. Now breathe and prioritize.
generate coping tip: emotion=stress | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=sharing_update,Even slow days are meaningful. Well done.
generate coping tip: emotion=depression | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=reflecting,Take a break to process what you’ve learned.
generate coping tip: emotion=neutral | intent=reflecting,Use this moment to reflect gently on your journey.
generate coping tip: emotion=depression | intent=seeking_support,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=asking_question,Pause when overwhelmed. Learn at your pace.
generate coping tip: emotion=neutral | intent=sharing_update,Keep going with what’s working today.
generate coping tip: emotion=anxiety | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=asking_question,It’s okay to be unsure. Take one question at a time.
generate coping tip: emotion=anxiety | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=sharing_update,Today was okay—and that’s great.
generate coping tip: emotion=neutral | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=venting,"Vent safely, then shift to something calming like music."
generate coping tip: emotion=stress | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=seeking_support,Use grounding techniques and seek a comforting voice.
generate coping tip: emotion=neutral | intent=reflecting,Use this moment to reflect gently on your journey.
generate coping tip: emotion=anxiety | intent=venting,Focus on one thing you can control right now.
generate coping tip: emotion=neutral | intent=sharing_update,Keep going with what’s working today.
generate coping tip: emotion=depression | intent=seeking_support,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=seeking_support,Ask someone to help you lighten the load.
generate coping tip: emotion=stress | intent=seeking_support,Seek guidance or validation. You're not alone.
generate coping tip: emotion=stress | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=sharing_update,A good day is still a step forward.
generate coping tip: emotion=depression | intent=asking_question,Explore support options without pressure.
generate coping tip: emotion=neutral | intent=sharing_update,Share your progress. Stability is a win.
generate coping tip: emotion=stress | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=seeking_support,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=reflecting,"Identify what’s overwhelming you, then break it down."
generate coping tip: emotion=anxiety | intent=reflecting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=seeking_support,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=stress | intent=venting,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=depression | intent=venting,Turn your frustration into words—get it out.
generate coping tip: emotion=anxiety | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=anxiety | intent=sharing_update,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=sharing_update,Enjoy the calm. You’ve earned it.
generate coping tip: emotion=neutral | intent=reflecting,Neutral is a good time to build habits.
generate coping tip: emotion=stress | intent=seeking_support,Seek guidance or validation. You're not alone.
generate coping tip: emotion=stress | intent=asking_question,Take a moment to pause. You're allowed to rest and reflect.
generate coping tip: emotion=neutral | intent=reflecting,Track patterns even on calm days—it builds resilience.
